col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1058052,Fleckeby,165.23
1058053,Flintbek,426.07
1058054,Fockbek,246.19
1058055,Friedrichsgraben,9.48
1058056,Friedrichsholm,56.1
1058057,Gammelby,60.31
1058058,Gettorf,806.42
1058059,Gnutz,52.07
1058061,Gokels,55.83
1058062,Grauel,46.17
1058063,Grevenkrug,52.53
1058064,Groß Buchwald,45.09
1058065,Groß Vollstedt,107.1
1058066,Groß Wittensee,55.3
1058067,Güby,53.95
1058068,Haale,37.99
1058069,Haby,94.82
1058070,Hamdorf,46.94
1058071,Hamweddel,46.64
1058072,Hanerau-Hademarschen,209.45
1058073,Haßmoor,24.05
1058074,Heinkenborstel,18.28
1058075,Hörsten,6.68
1058076,Hoffeld,27.34
1058077,Hohenwestedt,298.57
1058078,Hohn,88.23
1058080,Holtsee,58.75
1058081,Holzbunge,70.13
1058082,Holzdorf,49.57
1058083,Hütten,33.29
1058084,Hummelfeld,33.88
1058085,Jahrsdorf,25.25
1058086,Jevenstedt,72.65
1058087,Karby,251.2
1058088,Klein Wittensee,50.47
1058089,Königshügel,26.68
1058090,Kosel,46.57
1058091,Krogaspe,38.32
1058092,Kronshagen,2291.2
1058093,Krummwisch,50.83
1058094,Langwedel,65.03
1058096,Lindau,56.39
1058097,Lohe-Föhrden,27.32
1058098,Loop,22.51
1058099,Loose,67
1058100,Lütjenwestedt,24.19
1058101,Luhnstedt,24.58
1058102,Goosefeld,74.87
1058103,Meezen,41.55
1058104,Melsdorf,355.86
1058105,Mielkendorf,176.74
1058106,Mörel,29.69
1058107,Molfsee,692.48
1058108,Mühbrook,98.3
1058109,Negenharrie,29.02
1058110,Neudorf-Bornstein,78.33
1058111,Neu Duvenstedt,19.26
1058112,Neuwittenbek,90.02
1058113,Nienborstel,36.29
1058115,Nindorf,44.33
1058116,Noer,61.34
1058117,"Nortorf, Stadt",563.04
1058118,Nübbel,109.75
1058119,Oldenbüttel,33.38
1058120,Oldenhütten,36.49
1058121,Osdorf,130.65
1058122,Ostenfeld (Rendsburg),80.06
1058123,Osterby,99.39
1058124,Osterrönfeld,279.93
1058125,Osterstedt,59.91
1058126,Ottendorf,277.75
1058127,Owschlag,97.86
1058128,Padenstedt,122.53
1058129,Prinzenmoor,29.64
1058130,Quarnbek,106.18
1058131,Rade b. Hohenwestedt,30.22
1058132,Rade b. Rendsburg,33.59
1058133,Reesdorf,48.86
1058134,Remmels,52.27
1058135,"Rendsburg, Stadt",1289.81
1058136,Rickert,185.51
1058137,Rieseby,70.91
1058138,Rodenbek,62.48
1058139,Rumohr,94.65
1058140,Schacht-Audorf,735.43
1058141,Schierensee,36.6
1058142,Schinkel,102.94
1058143,Schmalstede,59.46
1058144,Schönbek,34.75
1058145,Schönhorst,92.11
1058146,Schülldorf,58.81
1058147,Schülp b. Nortorf,79.72
1058148,Schülp b. Rendsburg,95.9
1058150,Schwedeneck,101.12
1058151,Seefeld,50.66
1058152,Sehestedt,50.62
1058153,Sören,29.85
1058154,Sophienhamm,51.01
1058155,Stafstedt,31.95
1058156,Steenfeld,27.91
1058157,Strande,105.1
1058158,Tackesdorf,9.93
1058159,Tappendorf,49.78
1058160,Techelsdorf,33.18
1058161,Thaden,20.78
1058162,Thumby,13.55
1058163,Timmaspe,73.7
1058164,Todenbüttel,90.49
1058165,Tüttendorf,72.15
1058166,Waabs,43.3
1058167,Wapelfeld,39.46
1058168,Warder,80.37
1058169,Wasbek,107.96
1058170,Wattenbek,492.56
1058171,Westensee,40.71
1058172,Westerrönfeld,631.4
1058173,Windeby,68.45
1058174,Winnemark,60.75
1058175,Ahlefeld-Bistensee,47.71
1059001,Alt Bennebek,22.92
1059002,"Arnis, Stadt",557.78
1059005,Bergenhusen,39.68
1059006,Böel,51.1
1059008,Böklund,213.32
1059009,Börm,39.55
1059010,Bollingstedt,52.13
1059012,Borgwedel,71.36
1059018,Busdorf,376.64
1059019,Dannewerk,67.59
1059020,Dörpstedt,35.16
1059023,Ellingstedt,35.5
1059024,Erfde,66.05
1059026,Fahrdorf,223.67
1059032,Geltorf,44.06
1059034,Grödersby,32.93
1059035,Groß Rheide,61.94
1059037,Havetoft,66.28
1059039,Hollingstedt,58.02
1059041,Hüsby,82.64
1059042,Idstedt,66.97
1059043,Jagel,83.35
1059044,Jübek,179.46
1059045,"Kappeln, Stadt",203.37
1059049,Klappholz,61.31
1059050,Klein Bennebek,20.44
1059051,Klein Rheide,26.6
1059053,Kropp,209.58
1059055,Loit,40.06
1059056,Lottorf,42.04
1059057,Lürschau,65.41
1059058,Meggerdorf,28.45
1059060,Mohrkirch,64.91
1059062,Neuberend,258.82
1059063,Norderbrarup,170.6
1059065,Nottfeld,38.68
1059067,Oersberg,41.33
1059068,Rabenkirchen-Faulück,44.69
1059070,Rügge,40.27
1059072,Saustrup,22.24
1059073,Schaalby,58.96
1059074,Scheggerott,51.27
1059075,"Schleswig, Stadt",1043.29
1059076,Schnarup-Thumby,48.79
1059077,Schuby,115.83
1059078,Selk,80.34
1059079,Silberstedt,65.34
1059080,Steinfeld,92.67
1059081,Stolk,59.63
1059082,Struxdorf,50.52
1059083,Süderbrarup,261.96
1059084,Süderfahrenstedt,52.02
1059086,Taarstedt,67.2
1059087,Tetenhusen,40.36
1059088,Tielen,22.34
1059090,Tolk,100.67
1059092,Treia,74.54
1059093,Uelsby,38.05
1059094,Ulsnis,35.44
1059095,Wagersrott,39.25
1059096,Wohlde,35.55
1059097,Twedt,37.94
1059098,Nübel,68.21
1059102,Ahneby,52.89
1059103,Ausacker,55.64
1059105,Böxlund,27.95
1059106,Dollerup,83.33
1059107,Eggebek,148.02
1059109,Esgrus,43.66
1059112,Gelting,115.43
1059113,"Glücksburg (Ostsee), Stadt",158.92
1059115,Großenwiehe,109.5
1059116,Großsolt,69.92
1059118,Grundhof,81.42
1059120,Harrislee,624.26
1059121,Hasselberg,82.4
1059123,Hörup,34.66
1059124,Holt,11.03
1059126,Hürup,85.07
1059127,Husby,121.44
1059128,Janneby,28.23
1059129,Jardelund,17.8
1059131,Jerrishoe,64.63
1059132,Jörl,44.29
1059136,Kronsgaard,43.41
1059137,Langballig,101.62
1059138,Langstedt,80.03
1059142,Maasholm,71.73
1059143,Medelby,108
1059144,Meyn,59.35
1059145,Munkbrarup,89.6
1059147,Nieby,16.11
1059148,Niesgrau,54.5
1059149,Nordhackstedt,38.41
1059151,Osterby,24.53
1059152,Pommerby,28.47
1059154,Rabel,69.23
1059155,Rabenholz,49.48
1059157,Ringsberg,104.19
1059158,Schafflund,157.88
1059159,Sieverstedt,53.4
1059161,Sörup,91.61
1059162,Sollerup,36.44
1059163,Stangheck,24.9
1059164,Steinberg,51.26
1059167,Sterup,83.67
1059168,Stoltebüll,41.46
1059169,Süderhackstedt,34.09
1059171,Tarp,360.02
1059173,Wallsbüll,73.47
1059174,Wanderup,95.04
1059176,Wees,188.38
1059177,Weesby,20.38
1059178,Westerholz,50.37
1059179,Lindewitt,37.63
1059182,Freienwill,106.08
1059183,Handewitt,148.69
1059184,Oeversee,99.56
1059185,Mittelangeln,118.35
